Const,Your Rating,Date Added,Title,Title Type,Directors,IMDb Rating,Runtime (mins),Year,Genres,Num Votes
tt0375568,,,Astro Boy,movie,,,,2009,,
tt4622682,,,Above the Shadows,movie,,,,2019,,
tt11080108,,,The Map of Tiny Perfect Things,movie,,,,2021,,
tt0095916,,,Promised Land,movie,,,,1987,,
tt0111693,,,When a Man Loves a Woman,movie,,,,1994,,
tt0113117,,,French Kiss,movie,,,,1995,,
tt0160484,,,Lost Souls,movie,,,,2000,,
tt0780534,,,My Mom&#39;s New Boyfriend,movie,,,,2008,,
tt0476550,,,God Tussi Great Ho,movie,,,,2008,,
tt4459134,,,Frank and Penelope,movie,,,,2022,,
tt0252076,,,Maid in Manhattan,movie,,,,2002,,
tt0395495,,,Catch and Release,movie,,,,2006,,
tt0899106,,,Love Happens,movie,,,,2009,,
tt0460812,,,Griffin &amp; Phoenix,movie,,,,2006,,
tt0338427,,,Shopgirl,movie,,,,2005,,
tt0372532,,,The Wedding Date,movie,,,,2005,,
tt0218967,,,The Family Man,movie,,,,2000,,
tt10752004,,,Love Hard,movie,,,,2021,,
tt0369735,,,Monster-in-Law,movie,,,,2005,,
tt0398375,,,Rumor Has It...,movie,,,,2005,,
tt1322312,,,Going the Distance,movie,,,,2010,,
tt3064298,,,Man Up,movie,,,,2015,,
tt0204175,,,Boys and Girls,movie,,,,2000,,
tt0113097,,,Forget Paris,movie,,,,1995,,
tt0401445,,,A Good Year,movie,,,,2006,,
tt0841044,,,Two Days in Paris,movie,,,,2007,,
tt0104550,,,Jersey Girl,movie,,,,1992,,
tt14230388,,,Asteroid City,movie,,,,2023,,
tt2229848,,,Chashme Baddoor,movie,,,,2013,,
tt2727028,,,Total Chaos,movie,,,,2014,,
tt10627720,,,Ne Zha,movie,,,,2019,,
tt2381375,,,Underworld: Endless War,movie,,,,2011,,
tt0103939,,,Chaplin,movie,,,,1992,,
tt0360016,,,Standing Still,movie,,,,2005,,
tt7599146,,,Sound of Freedom,movie,,,,2023,,
tt0437954,,,Virgin Territory,movie,,,,2007,,
tt0141098,,,Forces of Nature,movie,,,,1999,,
tt5219972,,,Class Rank,movie,,,,2017,,
tt1330018,,,The Book of Love,movie,,,,2016,,
tt5540992,,,Shock and Awe,movie,,,,2017,,
tt0808244,,,Easy Virtue,movie,,,,2008,,
tt1137470,,,Accidental Love,movie,,,,2015,,
tt0292644,,,The Rules of Attraction,movie,,,,2002,,
tt1598822,,,New Year&#39;s Eve,movie,,,,2011,,
tt2429074,,,G.B.F.,movie,,,,2013,,
